,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado
2020-11,234125045.2231889,11012091.981461175,17.915343095704934,190864641.94257173
2020-12,233750329.1315124,11011286.87417154,17.912475788112026,190806496.9226481
2021-1,233375613.03983587,11010481.766881905,17.909608480519122,190748351.90272447
2021-2,232921861.64602965,11010132.016500745,17.90596801302187,190675281.77268875
2021-3,232468110.25222343,11009782.266119586,17.902327545524617,190602211.64265305
2021-4,232014358.8584172,11009432.515738426,17.898687078027365,190529141.51261735
2021-5,231560607.464611,11009082.765357265,17.895046610530112,190456071.38258162
2021-6,231106856.07080477,11008733.014976107,17.89140614303286,190383001.2525459
2021-7,230653104.67699856,11008383.264594946,17.887765675535604,190309931.1225102
2021-8,230199353.28319237,11008033.514213786,17.884125208038352,190236860.9924745
2021-9,229745601.88938615,11007683.763832627,17.8804847405411,190163790.86243877
2021-10,229291850.49557993,11007334.013451466,17.876844273043847,190090720.73240304
2021-11,228838099.1017737,11006984.263070306,17.873203805546595,190017650.60236734
2021-12,228384347.7079675,11006634.512689147,17.869563338049343,189944580.47233164
2022-1,227930596.31416127,11006284.762307987,17.86592287055209,189871510.3422959
