,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado
2018-1,19968974.61989828,1273955.5349886473,10.766723955133749,23941660.37914466
2018-2,19961217.713154987,1274849.3887939728,10.76636601231755,23961643.042833846
2018-3,19953460.806411695,1275743.242599298,10.76600806950135,23981625.70652303
2018-4,19945703.899668403,1276637.0964046232,10.765650126685152,24001608.370212216
2018-5,19937946.99292511,1277530.9502099487,10.765292183868953,24021591.0339014
2018-6,19930190.08618182,1278424.8040152742,10.764934241052753,24041573.697590586
2018-7,19922433.179438524,1279318.6578205994,10.764576298236555,24061556.36127977
2018-8,19914676.272695232,1280212.5116259246,10.764218355420356,24081539.024968956
2018-9,19906919.36595194,1281106.36543125,10.763860412604156,24101521.68865814
2018-10,19899162.45920865,1282000.2192365755,10.763502469787957,24121504.352347326
2018-11,19891405.552465357,1282894.0730419008,10.763144526971757,24141487.01603651
2018-12,19883648.645722065,1283787.926847226,10.76278658415556,24161469.679725695
2019-1,19875891.738978773,1284681.7806525514,10.76242864133936,24181452.34341488
2019-2,19853622.048017696,1285912.6383294002,10.75965605059107,24198991.973561313
2019-3,19831352.357056618,1287143.4960062488,10.756883459842781,24216531.60370775
2019-4,19809082.666095544,1288374.3536830975,10.754110869094491,24234071.233854182
2019-5,19786812.975134466,1289605.211359946,10.751338278346202,24251610.86400062
2019-6,19764543.284173388,1290836.0690367948,10.748565687597912,24269150.49414705
2019-7,19742273.593212314,1292066.9267136436,10.74579309684962,24286690.124293484
2019-8,19720003.902251236,1293297.7843904921,10.743020506101331,24304229.75443992
2019-9,19697734.21129016,1294528.642067341,10.740247915353041,24321769.384586353
2019-10,19675464.52032908,1295759.4997441894,10.737475324604752,24339309.01473279
2019-11,19653194.829368003,1296990.3574210382,10.734702733856462,24356848.644879222
2019-12,19630925.13840693,1298221.2150978867,10.731930143108173,24374388.27502566
2020-1,19608655.44744585,1299452.0727747355,10.729157552359883,24391927.90517209
2020-2,19567736.584592387,1301421.1015923761,10.724783373881822,24407533.940637786
2020-3,19526817.721738927,1303390.1304100167,10.720409195403763,24423139.97610348
2020-4,19485898.858885463,1305359.1592276574,10.716035016925701,24438746.011569172
2020-5,19444979.996032003,1307328.188045298,10.71166083844764,24454352.047034867
2020-6,19404061.13317854,1309297.2168629386,10.707286659969581,24469958.082500562
2020-7,19363142.27032508,1311266.2456805794,10.70291248149152,24485564.117966257
2020-8,19322223.407471616,1313235.27449822,10.698538303013459,24501170.153431952
2020-9,19281304.544618152,1315204.3033158607,10.6941641245354,24516776.188897647
2020-10,19240385.681764692,1317173.3321335013,10.689789946057338,24532382.224363342
2020-11,19199466.81891123,1319142.360951142,10.685415767579277,24547988.259829033
2020-12,19158547.95605777,1321111.3897687825,10.681041589101218,24563594.295294728
2021-1,19117629.093204305,1323080.4185864232,10.676667410623157,24579200.330760423
2021-2,19068435.704385027,1325225.299069899,10.671287926479557,24595549.90263952
2021-3,19019242.315565754,1327370.1795533744,10.66590844233596,24611899.474518616
2021-4,18970048.92674648,1329515.0600368502,10.66052895819236,24628249.046397712
2021-5,18920855.537927203,1331659.9405203257,10.655149474048761,24644598.61827681
2021-6,18871662.149107926,1333804.8210038014,10.649769989905163,24660948.190155905
2021-7,18822468.760288652,1335949.7014872772,10.644390505761564,24677297.762035005
2021-8,18773275.37146938,1338094.5819707527,10.639011021617964,24693647.3339141
2021-9,18724081.9826501,1340239.4624542284,10.633631537474367,24709996.905793197
2021-10,18674888.593830824,1342384.342937704,10.628252053330767,24726346.477672294
2021-11,18625695.20501155,1344529.2234211797,10.622872569187168,24742696.04955139
2021-12,18576501.816192277,1346674.1039046552,10.61749308504357,24759045.621430486
2022-1,18527308.427373,1348818.984388131,10.61211360089997,24775395.193309583
